id,name,photo,candidate_list,group,constituency,rebelity,rebelity_percent,rebelity_total,rebelity_possible
psp:person:6796,Michal Zuna,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i6796.jpg,Spolu,TOP 09,Hlavní město Praha,0.01715,1.7,29,1691
psp:person:6185,Milan Brázdil,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i6185.jpg,ANO2011,ANO 2011,Olomoucký,0.000584,0.1,1,1712
psp:person:6201,Miloslav Janulík,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i6201.jpg,ANO2011,ANO 2011,Jihomoravský,0.004089,0.4,7,1712
psp:person:7016,Miroslav Krejčí,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i7016.jpg,Motoristé sobě,Motoristé sobě,Jihočeský,0.012865,1.3,22,1710
psp:person:6688,Miroslav Samaš,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i6688.jpg,ANO2011,ANO 2011,Středočeský,0.011682,1.2,20,1712
psp:person:6064,Miroslav Ševčík,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i6064.jpg,Svoboda a prima demokracie - Tomio Okamura,Svoboda a přímá demokracie,Jihomoravský,0.008787,0.9,15,1707
psp:person:7064,Miroslav Žbánek,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i7064.jpg,ANO2011,ANO 2011,Olomoucký,0.015187,1.5,26,1712
psp:person:6994,Monika Brzesková,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i6994.jpg,Spolu,KDU-ČSL,Moravskoslezský,0.011543,1.2,19,1646
psp:person:7007,Monika Hubíková,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i7007.jpg,ANO2011,ANO 2011,Zlínský,0.007593,0.8,13,1712
psp:person:6475,Monika Oborná,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i6475.jpg,ANO2011,ANO 2011,Vysočina,0.005841,0.6,10,1712
psp:person:6473,Olga Richterová,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i6473.jpg,Česká pirátská strana,Piráti,Hlavní město Praha,0.005288,0.5,9,1702
psp:person:6623,Ondřej Babka,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i6623.jpg,ANO2011,ANO 2011,Jihočeský,0.037383,3.7,64,1712
psp:person:7010,Oto Klempíř,https://www.psp.cz/eknih/cdrom/2025ps/eknih/2025ps/poslanci/i7010.jpg,Motoristé sobě,Motoristé sobě,Plzeňský,0.001754,0.2,3,1710
